灤	滦
糧	粮
齦	龈
篩	筛
奪	夺
鶓	鹋
濱	滨
審	审
諳	谙
鏹	镪
鉸	铰
飿	饳
驁	骜
斂	敛
脅	胁
來	来
瘋	疯
瀏	浏
搗	捣
減	减
憚	惮
蠟	蜡
讞	谳
俱	具,俱
鈣	钙
兇	凶
鬩	阋
禪	禅
蔭	荫
櫳	栊
絲	丝
旂	旗
迆	迤
證	证
巒	峦
祕	秘
著	著,着
臚	胪
滻	浐
闢	辟
煥	焕
鱧	鳢
姪	侄
蕭	萧
擬	拟
聯	联
揮	挥
詳	详
極	极
鑷	镊
卹	恤
鋸	锯
釺	钎
掃	扫
肅	肃
涇	泾
銍	铚
檉	柽
甌	瓯
鈎	钩
鮓	鲊
鰒	鳆
濘	泞
貝	贝
樞	枢
鎣	蓥
嶧	峄
窩	窝
鬨	哄
澆	浇
攬	揽
燜	焖
効	效
錸	铼
盞	盏
紼	绋
禿	秃
騾	骡
慄	栗
諉	诿
韋	韦
衊	蔑
剎	刹
飢	饥
濛	蒙
詞	词
盡	尽
僥	侥
魨	鲀
勦	剿
訓	训
潰	溃
襴	襕
狹	狭
獸	兽
䰾	鲃
峽	峡
駿	骏
梔	栀
贇	赟
國	国
琍	璃
閌	闶
縑	缣
龐	庞
幃	帏
輛	辆
鸛	鹳
語	语
瘡	疮
膚	肤
崧	嵩
護	护
斬	斩
謳	讴
貲	赀
嚶	嘤
鈹	铍
為	为
簽	签
鶼	鹣
餿	馊
裊	袅
闌	阑
鹹	咸
駔	驵
敗	败
曖	暧
艙	舱
潛	潜
獻	献
諞	谝
癡	痴
釤	钐
師	师
穩	稳
鯨	鲸
飪	饪
濰	潍
觴	觞
長	长
祿	禄
潔	洁
綁	绑
紝	纴
謂	谓
鮍	鲏
纏	缠
冑	胄
錒	锕
嘔	呕
敘	叙
趙	赵
漚	沤
蔞	蒌
禡	祃
鬢	鬓
羥	羟
犧	牺
閩	闽
鐨	镄
殭	僵
撳	揿
鶲	鹟
餶	馉
鶹	鹠
鳲	鸤
賃	赁
藉	藉,借
壋	垱
穌	稣
絎	绗
諗	谂
襖	袄
礎	础
魢	鱾
寧	宁
鳶	鸢
嗩	唢
睪	睾
詬	诟
滯	滞
聰	聪
捲	卷
柵	栅
緹	缇
鱸	鲈
鏽	锈
輅	辂
戇	戆
撈	捞
錙	锱
鬍	胡
鸏	鹲
邐	逦
鐓	镦
託	托
視	视
䲘	鳤
餡	馅
簣	篑
麤	粗
鈧	钪
説	说
騷	骚
紹	绍
銼	锉
閾	阈
轅	辕
滄	沧
塋	茔
筍	笋
鶯	莺
號	号
壠	垅
鯢	鲵
彥	彦
釦	扣
譭	毁
櫬	榇
湯	汤
摳	抠
緒	绪
絹	绢
糸	丝
鋼	钢
訂	订
蘊	蕴
嬌	娇
導	导
傑	杰
儐	傧
間	间
嚕	噜
骯	肮
夠	够
綣	绻
麥	麦
鎧	铠
瀦	潴
鵝	鹅
謬	谬
辯	辩
賜	赐
戲	戏
滅	灭
轄	辖
恆	恒
爍	烁
孌	娈
僑	侨
闓	闿
緣	缘
驢	驴
諭	谕
惱	恼
鰾	鳔
鯷	鳀
燻	熏
狽	狈
獼	猕
響	响
鑾	銮
薈	荟
騍	骒
們	们
謗	谤
愛	爱
躚	跹
蒞	莅
頡	颉
鴣	鸪
帥	帅
閨	闺
險	险
設	设
輯	辑
應	应
緲	缈
枴	拐
墶	垯
簹	筜
綸	纶
儻	傥
鈽	钸
觀	观
諂	谄
葉	叶
饋	馈
積	积
攣	挛
齏	齑
灑	洒
釐	厘
鋒	锋
棖	枨
汙	污
蝟	猬
臺	台
瑩	莹
盪	荡
詭	诡
潯	浔
魷	鱿
鷸	鹬
塢	坞
牽	牵
禍	祸
頌	颂
爐	炉
鄒	邹
鐔	镡
欖	榄
悅	悦
撟	挢
夢	梦
鶥	鹛
嶇	岖
錦	锦
阨	厄
貯	贮
戰	战
徹	彻
銻	锑
紺	绀
眾	众
頊	顼
鱠	鲙
鏷	镤
姍	姗
題	题
彎	弯
鏑	镝
縶	絷
兒	儿
闕	阙
鑔	镲
棗	枣
譖	谮
臝	裸
鯡	鲱
穠	秾
廣	广
饢	馕
鷥	鸶
層	层
諫	谏
勸	劝
輿	舆
翹	翘
勻	匀
萵	莴
遼	辽
謁	谒
贅	赘
暈	晕
薊	蓟
鰏	鲾
瘓	痪
熒	荧
甕	瓮
讖	谶
螞	蚂
嬡	嫒
縣	县
瀧	泷
鎦	镏
嚨	咙
喪	丧
鵐	鹀
澮	浍
憲	宪
頷	颔
鮶	鲪
鶺	鹡
琿	珲
牴	抵
譁	哗
賄	贿
籤	签
噓	嘘
燒	烧
瓔	璎
綴	缀
淚	泪
餘	馀,余
摟	搂
幣	币
駢	骈
駐	驻
橫	横
渦	涡
業	业
捱	挨
懲	惩
敵	敌
擴	扩
寶	宝
鉻	铬
鷺	鹭
鑿	凿
檁	檩
謀	谋
贄	贽
暉	晖
箋	笺
萊	莱
餌	饵
綏	绥
劑	剂
錐	锥
訖	讫
亙	亘
掛	挂
愜	惬
薟	莶
蘞	蔹
羣	群
蘇	苏
鈦	钛
殫	殚
鄉	乡
趲	趱
騶	驺
鰺	鲹
儼	俨
閿	阌
濃	浓
賅	赅
懇	恳
曉	晓
篋	箧
饌	馔
銹	锈
韓	韩
詖	诐
